#{"t_start": 1740659830.023298, "env_id": "None"}
r,l,t
-32252590.034273,840,183.203991
-32118351.789024,840,183.438892
-32408331.500063,840,183.672756
-32392117.497454,840,183.907398
-31724973.007987,840,184.141392
-31965857.225369,840,184.37667
-32819386.010822,840,184.609378
-31929100.598354,840,184.843833
-32696993.967261,840,185.078672
-32221834.648724,840,185.312633
-32338554.855437,840,185.546598
-32658352.72199,840,185.780411
-32203492.308862,840,186.014112
-32304498.776546,840,186.260336
-32413554.50138,840,186.494826
-32522582.140382,840,186.727242
-32060269.882524,840,186.960945
-32262079.904817,840,187.193945
-32629521.205523,840,187.427294
-32205172.575623,840,187.660701
-32195882.651381,840,187.893872
-32238181.334196,840,188.127879
-32090859.071489,840,188.363121
-32307549.909652,840,188.597387
-32646009.198801,840,188.830121
-32077343.318879,840,189.064075
-31930395.349345,840,189.298873
-32451603.399444,840,189.531872
-32916522.983007,840,189.765872
-32053337.671299,840,189.998873
-32736682.168668,840,190.232869
-32201980.333881,840,190.467771
-32554834.104162,840,190.700838
-32122568.982599,840,190.933933
-32677946.351071,840,191.167704
-32801162.930312,840,191.401025
-32327827.984472,840,191.634025
-32327536.71302,840,191.867026
-31682634.928546,840,192.100361
-32349513.908289,840,192.333737
-31801948.301782,840,192.568195
-31791096.255818,840,192.801827
-32228622.098394,840,193.0351
-32033577.794467,840,193.269264
-32863515.647079,840,193.502834
-31985196.297627,840,193.735695
-32382750.711028,840,193.969093
-32327808.016243,840,194.202819
-32590676.382187,840,194.444046
-32211224.451757,840,194.681046
-32022961.473386,840,194.919929
-31813586.925299,840,195.163527
-32660925.774029,840,195.404996
-31569906.906635,840,195.643983
-32335430.325948,840,195.880639
-32159058.837756,840,196.112945
-31767363.377067,840,196.345939
-32225279.393149,840,196.579956
-32299787.655577,840,196.813955
-32208607.064363,840,197.047934
-32565681.858892,840,197.281609
-32486765.603324,840,197.515981
-32221218.866256,840,197.748981
-32183982.359164,840,197.982269
-31682425.93217,840,198.215268
-32198909.38808,840,198.449262
-31979980.256827,840,198.682751
-32121182.415881,840,198.915027
-31994136.366882,840,199.148374
-32258089.093479,840,199.382771
-32474887.49475,840,199.616455
-31948690.588571,840,199.849391
-32588843.357826,840,200.081913
