#{"t_start": 1740660108.039301, "env_id": "None"}
r,l,t
-287018.681447,15,13.789629
-283569.99655,15,13.807636
-303605.165722,15,13.823629
-285181.152243,15,13.841629
-287217.90857,15,13.861628
-298434.772857,15,13.879764
-290906.785997,15,13.903764
-281653.686105,15,13.930763
-289268.446752,15,13.954765
-297790.523139,15,13.980766
-296520.896834,15,14.000764
-298223.465184,15,14.021765
-295805.032484,15,14.042766
-282839.864528,15,14.062765
-283908.224012,15,14.081955
-284129.358341,15,14.101766
-295408.175774,15,14.129766
-285003.50482,15,14.150889
-290248.450791,15,14.172887
-307181.221337,15,14.194887
-12642.824164,15,14.215299
-58919.113354,15,14.238301
-288689.943293,15,14.256307
-289600.815846,15,14.274301
-68034.705136,15,14.292308
-292431.330132,15,14.3133
-287589.07228,15,14.334301
-291311.365359,15,14.353301
-274170.396627,15,14.374502
-288529.026457,15,14.396698
-296126.789878,15,14.417698
-303634.230599,15,14.446697
-288738.470347,15,14.4697
-286690.306208,15,14.492698
-292803.207443,15,14.514841
-77201.649168,15,14.543206
-282800.192351,15,14.565345
-162688.796884,15,14.588505
-298147.069138,15,14.610502
-285766.711305,15,14.635659
-280155.163339,15,14.66081
-120873.388793,15,14.683162
-266555.548159,15,14.704317
-289108.298434,15,14.725455
-287746.682087,15,14.744663
-288675.487481,15,14.773038
-284791.462252,15,14.792472
-274055.316743,15,14.813049
-294856.176843,15,14.838195
-214935.774367,15,14.85934
-289862.916916,15,14.882401
-297380.440971,15,14.901553
-295318.75797,15,14.92255
-294819.849172,15,14.94368
-286733.862137,15,14.966805
-288916.091517,15,14.992921
-279813.906456,15,15.01493
-292324.983463,15,15.036041
-294128.538729,15,15.054038
-277093.570718,15,15.077039
-287965.090576,15,15.103038
-288861.390206,15,15.12304
-281355.158201,15,15.146113
-287195.835389,15,15.18125
-52158.127378,15,15.211271
-301361.877274,15,15.231232
-281435.23348,15,15.253521
-205410.018756,15,15.272776
-296120.756732,15,15.298893
-287200.090178,15,15.322894
-294286.878171,15,15.341007
-286992.992623,15,15.360007
-290522.237368,15,15.379007
-297062.540149,15,15.40001
-283811.31937,15,15.422132
-306283.366368,15,15.445239
-285097.718195,15,15.465357
-291707.179474,15,15.487357
-288051.135928,15,15.506601
-290836.657735,15,15.534789
-285164.307946,15,15.558957
-288575.625449,15,15.580959
-290199.99331,15,15.599967
-275029.822405,15,15.62196
-297402.608554,15,15.644959
-303587.149992,15,15.664959
-296251.486968,15,15.684957
-287267.342324,15,15.703957
-281920.063077,15,15.721959
-284780.966567,15,15.742959
-290574.375554,15,15.762957
-284421.813243,15,15.781957
-287799.210092,15,15.801096
-287602.542559,15,15.821026
-294545.713308,15,15.843129
-285336.800219,15,15.864981
-293979.611415,15,15.886981
-295636.799674,15,15.904979
-287073.281828,15,15.92623
-52546.08843,15,15.951445
-296337.773426,15,15.970229
-294438.122438,15,15.990231
-294624.817384,15,16.010231
-277846.459839,15,16.032233
-280473.461553,15,16.053356
-79063.250423,15,16.0766
-293848.41203,15,16.093544
-283632.539228,15,16.111784
-288572.949269,15,16.132075
-292414.053882,15,16.151075
-286272.766767,15,16.172188
-115929.221198,15,16.191258
-292530.409941,15,16.213259
-293685.831321,15,16.235473
-286693.76905,15,16.253473
-297432.748618,15,16.271576
-297187.645356,15,16.294921
-287897.676835,15,16.314919
-290588.829183,15,16.331095
-182437.674631,15,16.349096
-286486.939105,15,16.368096
-287538.89868,15,16.391385
-293743.040885,15,16.407385
-3796.555,15,16.426385
-129799.213996,15,16.445597
-290511.506279,15,16.464597
-138154.929872,15,16.483795
-290084.26929,15,16.507054
