#{"t_start": 1740660101.043639, "env_id": "None"}
r,l,t
-4100.6625,15,3.127482
-4100.6625,15,3.134482
-4100.6625,15,3.141482
-3413.9625,15,3.147752
-4100.6625,15,3.154744
-4100.6625,15,3.162019
-4100.6625,15,3.169293
-4787.3625,15,3.176293
-3413.9625,15,3.183293
-5889.1325,15,3.190293
-3413.9625,15,3.197603
-4690.2475,15,3.204604
-3413.9625,15,3.210884
-4787.3625,15,3.217885
-4100.6625,15,3.224885
-4100.6625,15,3.232144
-3413.9625,15,3.239145
-4100.6625,15,3.246145
-4100.6625,15,3.252439
-4787.3625,15,3.259439
-3413.9625,15,3.266439
-4690.2475,15,3.273707
-4690.2475,15,3.279707
-3413.9625,15,3.2877
-5299.5475,15,3.294707
-5376.9475,15,3.301707
-3413.9625,15,3.308708
-5966.5325,15,3.315707
-5376.9475,15,3.322707
-3413.9625,15,3.329707
-3413.9625,15,3.336707
-2729.9625,15,3.343707
-4612.8475,15,3.350707
-4690.2475,15,3.357708
-4100.6625,15,3.364707
-3413.9625,15,3.371708
-4100.6625,15,3.378707
-4100.6625,15,3.385707
-4100.6625,15,3.392707
-3413.9625,15,3.399707
-3413.9625,15,3.4068
-4100.6625,15,3.413707
-5376.9475,15,3.419707
-5376.9475,15,3.426708
-4690.2475,15,3.433707
-4100.6625,15,3.440707
-4100.6625,15,3.447708
-5376.9475,15,3.454704
-3413.9625,15,3.461707
-3413.9625,15,3.469011
-3413.9625,15,3.476008
-3413.9625,15,3.483008
-4100.6625,15,3.490008
-3413.9625,15,3.497275
-3413.9625,15,3.504001
-4100.6625,15,3.511008
-3413.9625,15,3.518008
-4690.2475,15,3.525008
-5474.0625,15,3.532009
-4787.3625,15,3.539009
-3413.9625,15,3.54627
-4787.3625,15,3.553277
-4100.6625,15,3.560277
-4100.6625,15,3.566555
-5376.9475,15,3.574562
-4100.6625,15,3.580562
-3413.9625,15,3.587555
-3413.9625,15,3.595562
-4787.3625,15,3.601826
-3413.9625,15,3.608826
-5376.9475,15,3.615826
-4787.3625,15,3.623089
-4787.3625,15,3.630089
-4787.3625,15,3.637089
-5376.9475,15,3.644089
-5376.9475,15,3.65136
-4787.3625,15,3.658361
-4690.2475,15,3.66536
-4100.6625,15,3.671634
-3413.9625,15,3.678635
-3413.9625,15,3.685634
-4690.2475,15,3.692634
-3413.9625,15,3.699925
-5376.9475,15,3.707213
-5966.5325,15,3.714212
-4100.6625,15,3.72056
-4690.2475,15,3.727874
-4690.2475,15,3.734869
-3413.9625,15,3.742061
-5474.0625,15,3.749259
-3413.9625,15,3.756421
-5376.9475,15,3.763429
-4100.6625,15,3.770602
-3413.9625,15,3.777599
-4100.6625,15,3.784599
-4100.6625,15,3.790829
-4100.6625,15,3.798118
-4100.6625,15,3.805119
-3413.9625,15,3.812395
-4100.6625,15,3.81868
-4787.3625,15,3.82568
-3413.9625,15,3.83268
-3413.9625,15,3.840015
-4100.6625,15,3.847302
-4100.6625,15,3.853295
-3413.9625,15,3.860481
-4100.6625,15,3.867753
-4100.6625,15,3.874752
-4787.3625,15,3.881751
-4100.6625,15,3.888752
-4612.8475,15,3.895751
-3413.9625,15,3.903043
-4100.6625,15,3.909353
-5376.9475,15,3.916458
-5376.9475,15,3.923466
-4787.3625,15,3.930467
-4690.2475,15,3.937834
-3413.9625,15,3.944831
-3413.9625,15,3.952129
-4787.3625,15,3.958406
-4690.2475,15,3.965406
